관리번호,년도,지역,차수,분류,재질,상세분류,개수
1868,2019,통영 망일봉,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",1
1868,2019,통영 망일봉,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",1
1868,2019,통영 망일봉,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",1
1868,2019,통영 망일봉,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",1
1868,2019,통영 망일봉,1차,천연 섬유,,"옷, 모자, 양말, 천, 장갑(면장갑, 목장갑, 코팅목장갑) 등 천연 섬유만 해당",1
1868,2019,통영 망일봉,1차,플라스틱류,필름형,비닐봉지,6
1868,2019,통영 망일봉,1차,플라스틱류,발포형,스티로폼 부표,6
1868,2019,통영 망일봉,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",102
1870,2019,신안 임자도,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",1
1870,2019,신안 임자도,1차,플라스틱류,필름형,기타(일회용 위생장갑 등),1
1870,2019,신안 임자도,1차,플라스틱류,섬유형,"옷, 천, 장갑, 양말, 이불 등(합성섬유만 해당)",1
1870,2019,신안 임자도,1차,플라스틱류,경질형,"음식물포장용기(고추장통, 간장병 등)",1
1870,2019,신안 임자도,1차,천연 섬유,,"옷, 모자, 양말, 천, 장갑(면장갑, 목장갑, 코팅목장갑) 등 천연 섬유만 해당",1
1870,2019,신안 임자도,1차,외국기인,경질형,부표(둥근 검정),1
1870,2019,신안 임자도,1차,플라스틱류,필름형,비닐봉지,2
1870,2019,신안 임자도,1차,외국기인,경질형,"음료수병, 병뚜껑 등",2
1870,2019,신안 임자도,1차,플라스틱류,경질형,1회용품 접시·숟가락·빨대 등,2
1870,2019,신안 임자도,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",3
1870,2019,신안 임자도,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",4
1870,2019,신안 임자도,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",5
1870,2019,신안 임자도,1차,플라스틱류,발포형,스티로폼 부표,21
1870,2019,신안 임자도,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",46
1871,2019,신안 고장리해변,1차,플라스틱류,경질형,"농약용기, 살충제",1
1871,2019,신안 고장리해변,1차,플라스틱류,필름형,기타(일회용 위생장갑 등),1
1871,2019,신안 고장리해변,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",1
1871,2019,신안 고장리해변,1차,플라스틱류,섬유형,어망,1
1871,2019,신안 고장리해변,1차,외국기인,경질형,"음료수병, 병뚜껑 등",1
1871,2019,신안 고장리해변,1차,플라스틱류,발포형,스티로폼 어상자,1
1871,2019,신안 고장리해변,1차,플라스틱류,경질형,플라스틱 부표,2
1871,2019,신안 고장리해변,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",2
1871,2019,신안 고장리해변,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",3
1871,2019,신안 고장리해변,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",3
1871,2019,신안 고장리해변,1차,플라스틱류,경질형,1회용품 접시·숟가락·빨대 등,3
1871,2019,신안 고장리해변,1차,플라스틱류,경질형,파편,4
1871,2019,신안 고장리해변,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",6
1871,2019,신안 고장리해변,1차,플라스틱류,필름형,비닐봉지,10
1871,2019,신안 고장리해변,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",30
1872,2019,울산 대왕암,1차,플라스틱류,경질형,라이터,1
1872,2019,울산 대왕암,1차,플라스틱류,경질형,플라스틱 부표,1
1872,2019,울산 대왕암,1차,플라스틱류,경질형,"통발, 장어통발용 미끼통",1
1872,2019,울산 대왕암,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",1
1872,2019,울산 대왕암,1차,플라스틱류,필름형,비닐봉지,1
1872,2019,울산 대왕암,1차,플라스틱류,필름형,기타(일회용 위생장갑 등),1
1872,2019,울산 대왕암,1차,플라스틱류,발포형,"기타(스폰지, 물휴지 등)",1
1872,2019,울산 대왕암,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",1
1872,2019,울산 대왕암,1차,플라스틱류,섬유형,"옷, 천, 장갑, 양말, 이불 등(합성섬유만 해당)",1
1872,2019,울산 대왕암,1차,고무,,"타이어, 고무풍선, 고무장갑 등",1
1872,2019,울산 대왕암,1차,플라스틱류,섬유형,낚싯줄,2
1872,2019,울산 대왕암,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",2
1872,2019,울산 대왕암,1차,기타(+혼합재질),,"가전제품, 차량부품, 도자기, 타일, 건전지, 양초 등",2
1872,2019,울산 대왕암,1차,플라스틱류,경질형,"음식물포장용기(고추장통, 간장병 등)",2
1872,2019,울산 대왕암,1차,플라스틱류,경질형,"세제용기(주방, 세탁, 목욕 등), 화장품",2
1872,2019,울산 대왕암,1차,플라스틱류,기타,기타 플라스틱,2
1872,2019,울산 대왕암,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",3
1872,2019,울산 대왕암,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",3
1872,2019,울산 대왕암,1차,플라스틱류,섬유형,"파편(노끈, 밧줄, 어망 등으로 구분할 수 없는 경우)",5
1872,2019,울산 대왕암,1차,플라스틱류,경질형,1회용품 접시·숟가락·빨대 등,5
1872,2019,울산 대왕암,1차,플라스틱류,기타,파편,5
1872,2019,울산 대왕암,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",7
1872,2019,울산 대왕암,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",8
1872,2019,울산 대왕암,1차,플라스틱류,경질형,파편,9
1872,2019,울산 대왕암,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",11
1872,2019,울산 대왕암,1차,플라스틱류,필름형,파편,13
1872,2019,울산 대왕암,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",16
1872,2019,울산 대왕암,1차,플라스틱류,발포형,파편,55
1873,2019,고창 동호해변,1차,플라스틱류,경질형,라이터,1
1873,2019,고창 동호해변,1차,플라스틱류,경질형,"통발, 장어통발용 미끼통",1
1873,2019,고창 동호해변,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",1
1873,2019,고창 동호해변,1차,플라스틱류,경질형,파편,1
1873,2019,고창 동호해변,1차,플라스틱류,필름형,파편,1
1873,2019,고창 동호해변,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",1
1873,2019,고창 동호해변,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",1
1873,2019,고창 동호해변,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",1
1873,2019,고창 동호해변,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",1
1873,2019,고창 동호해변,1차,외국기인,경질형,"음료수병, 병뚜껑 등",1
1873,2019,고창 동호해변,1차,외국기인,경질형,부표(둥근 검정),1
1873,2019,고창 동호해변,1차,플라스틱류,필름형,비닐봉지,2
1873,2019,고창 동호해변,1차,플라스틱류,섬유형,"파편(노끈, 밧줄, 어망 등으로 구분할 수 없는 경우)",2
1873,2019,고창 동호해변,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",3
1873,2019,고창 동호해변,1차,플라스틱류,발포형,파편,3
1873,2019,고창 동호해변,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",4
1873,2019,고창 동호해변,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",5
1874,2019,해남 송평해변,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",1
1874,2019,해남 송평해변,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",1
1874,2019,해남 송평해변,1차,플라스틱류,기타,파편,1
1874,2019,해남 송평해변,1차,플라스틱류,경질형,"농약용기, 살충제",2
1874,2019,해남 송평해변,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",2
1874,2019,해남 송평해변,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",2
1874,2019,해남 송평해변,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",2
1874,2019,해남 송평해변,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",4
1874,2019,해남 송평해변,1차,플라스틱류,발포형,파편,5
1874,2019,해남 송평해변,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",6
1875,2019,해남 예락해변,1차,플라스틱류,경질형,플라스틱 부표,1
1875,2019,해남 예락해변,1차,플라스틱류,필름형,비닐봉지,1
1875,2019,해남 예락해변,1차,플라스틱류,발포형,스티로폼 부표,1
1875,2019,해남 예락해변,1차,플라스틱류,발포형,파편,1
1875,2019,해남 예락해변,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",1
1875,2019,해남 예락해변,1차,고무,,"타이어, 고무풍선, 고무장갑 등",1
1875,2019,해남 예락해변,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",1
1875,2019,해남 예락해변,1차,플라스틱류,경질형,"세제용기(주방, 세탁, 목욕 등), 화장품",1
1875,2019,해남 예락해변,1차,플라스틱류,기타,파편,1
1875,2019,해남 예락해변,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",2
1875,2019,해남 예락해변,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",2
1875,2019,해남 예락해변,1차,플라스틱류,필름형,파편,3
1875,2019,해남 예락해변,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",9
1876,2019,영광 백바위해변,1차,플라스틱류,경질형,라이터,1
1876,2019,영광 백바위해변,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",1
1876,2019,영광 백바위해변,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",1
1876,2019,영광 백바위해변,1차,플라스틱류,경질형,파편,1
1876,2019,영광 백바위해변,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",1
1876,2019,영광 백바위해변,1차,플라스틱류,경질형,"세제용기(주방, 세탁, 목욕 등), 화장품",1
1876,2019,영광 백바위해변,1차,외국기인,경질형,부표(둥근 검정),1
1876,2019,영광 백바위해변,1차,플라스틱류,필름형,파편,2
1876,2019,영광 백바위해변,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",2
1876,2019,영광 백바위해변,1차,기타(+혼합재질),,"가전제품, 차량부품, 도자기, 타일, 건전지, 양초 등",2
1876,2019,영광 백바위해변,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",3
1876,2019,영광 백바위해변,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",5
1877,2019,울진 후정,1차,플라스틱류,필름형,비닐봉지,1
1877,2019,울진 후정,1차,플라스틱류,필름형,기타(일회용 위생장갑 등),1
1877,2019,울진 후정,1차,외국기인,경질형,"음료수병, 병뚜껑 등",1
1877,2019,울진 후정,1차,플라스틱류,기타,파편,1
1877,2019,울진 후정,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",2
1877,2019,울진 후정,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",2
1877,2019,울진 후정,1차,기타(+혼합재질),,"가전제품, 차량부품, 도자기, 타일, 건전지, 양초 등",2
1877,2019,울진 후정,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",3
1877,2019,울진 후정,1차,플라스틱류,경질형,플라스틱 부표,5
1877,2019,울진 후정,1차,플라스틱류,경질형,라이터,6
1877,2019,울진 후정,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",9
1877,2019,울진 후정,1차,플라스틱류,발포형,스티로폼 부표,13
1877,2019,울진 후정,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",25
1878,2019,고흥 염포해변,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",1
1878,2019,고흥 염포해변,1차,플라스틱류,섬유형,어망,1
1878,2019,고흥 염포해변,1차,플라스틱류,섬유형,"옷, 천, 장갑, 양말, 이불 등(합성섬유만 해당)",1
1878,2019,고흥 염포해변,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",1
1878,2019,고흥 염포해변,1차,외국기인,경질형,부표(막대형 주황),1
1878,2019,고흥 염포해변,1차,플라스틱류,발포형,스티로폼 포장용 충전재(가전제품 충격 완화용) 등,2
1878,2019,고흥 염포해변,1차,플라스틱류,기타,기타 플라스틱,2
1878,2019,고흥 염포해변,1차,천연 섬유,,"옷, 모자, 양말, 천, 장갑(면장갑, 목장갑, 코팅목장갑) 등 천연 섬유만 해당",2
1878,2019,고흥 염포해변,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",3
1878,2019,고흥 염포해변,1차,플라스틱류,필름형,기타(일회용 위생장갑 등),4
1878,2019,고흥 염포해변,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",4
1878,2019,고흥 염포해변,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",5
1878,2019,고흥 염포해변,1차,플라스틱류,경질형,플라스틱 부표,6
1878,2019,고흥 염포해변,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",7
1878,2019,고흥 염포해변,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",7
1878,2019,고흥 염포해변,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",9
1878,2019,고흥 염포해변,1차,플라스틱류,발포형,스티로폼 부표,28
1880,2019,부산 해양대,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",1
1880,2019,부산 해양대,1차,플라스틱류,필름형,필름형 풍선,1
1880,2019,부산 해양대,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",1
1880,2019,부산 해양대,1차,플라스틱류,경질형,"음식물포장용기(고추장통, 간장병 등)",1
1880,2019,부산 해양대,1차,플라스틱류,경질형,라이터,2
1880,2019,부산 해양대,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",2
1880,2019,부산 해양대,1차,플라스틱류,경질형,파편,2
1880,2019,부산 해양대,1차,플라스틱류,발포형,"기타(스폰지, 물휴지 등)",2
1880,2019,부산 해양대,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",2
1880,2019,부산 해양대,1차,플라스틱류,섬유형,"옷, 천, 장갑, 양말, 이불 등(합성섬유만 해당)",2
1880,2019,부산 해양대,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",2
1880,2019,부산 해양대,1차,고무,,"타이어, 고무풍선, 고무장갑 등",2
1880,2019,부산 해양대,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",3
1880,2019,부산 해양대,1차,기타(+혼합재질),,"가전제품, 차량부품, 도자기, 타일, 건전지, 양초 등",3
1880,2019,부산 해양대,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",4
1880,2019,부산 해양대,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",5
1880,2019,부산 해양대,1차,플라스틱류,필름형,비닐봉지,5
1880,2019,부산 해양대,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",8
1880,2019,부산 해양대,1차,플라스틱류,발포형,담배꽁초,10
1880,2019,부산 해양대,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",10
1880,2019,부산 해양대,1차,플라스틱류,발포형,스티로폼 어상자,10
1880,2019,부산 해양대,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",11
1880,2019,부산 해양대,1차,플라스틱류,발포형,스티로폼 포장용 충전재(가전제품 충격 완화용) 등,11
1880,2019,부산 해양대,1차,플라스틱류,발포형,스티로폼 부표,22
1881,2019,속초 청초,1차,고무,,"타이어, 고무풍선, 고무장갑 등",1
1881,2019,속초 청초,1차,플라스틱류,발포형,스티로폼 어상자,1
1881,2019,속초 청초,1차,플라스틱류,경질형,"농약용기, 살충제",2
1881,2019,속초 청초,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",2
1881,2019,속초 청초,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",3
1881,2019,속초 청초,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",3
1881,2019,속초 청초,1차,플라스틱류,발포형,파편,5
1881,2019,속초 청초,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",7
1881,2019,속초 청초,1차,플라스틱류,경질형,파편,8
1881,2019,속초 청초,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",8
1881,2019,속초 청초,1차,플라스틱류,경질형,1회용품 접시·숟가락·빨대 등,8
1881,2019,속초 청초,1차,플라스틱류,경질형,"음식물포장용기(고추장통, 간장병 등)",8
1881,2019,속초 청초,1차,플라스틱류,발포형,담배꽁초,10
1881,2019,속초 청초,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",10
1881,2019,속초 청초,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",12
1881,2019,속초 청초,1차,플라스틱류,경질형,폭죽/불꽃놀이 용품,19
1882,2019,고흥 신흥,1차,플라스틱류,경질형,"통발, 장어통발용 미끼통",1
1882,2019,고흥 신흥,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",2
1882,2019,고흥 신흥,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",2
1882,2019,고흥 신흥,1차,천연 섬유,,"옷, 모자, 양말, 천, 장갑(면장갑, 목장갑, 코팅목장갑) 등 천연 섬유만 해당",2
1882,2019,고흥 신흥,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",3
1882,2019,고흥 신흥,1차,플라스틱류,섬유형,어망,3
1882,2019,고흥 신흥,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",4
1882,2019,고흥 신흥,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",4
1882,2019,고흥 신흥,1차,플라스틱류,필름형,비닐봉지,8
1882,2019,고흥 신흥,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",11
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,주사기,1
1883,2019,거제 두모몽돌해변,1차,플라스틱류,섬유형,낚싯줄,1
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,"음식물포장용기(고추장통, 간장병 등)",1
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,"장난감, 인형, 오락용품, 사무용품",1
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,포장용 밴드(넙적하고 딱딱한 끈),1
1883,2019,거제 두모몽돌해변,1차,플라스틱류,필름형,기타(일회용 위생장갑 등),2
1883,2019,거제 두모몽돌해변,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",2
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,"세제용기(주방, 세탁, 목욕 등), 화장품",2
1883,2019,거제 두모몽돌해변,1차,천연 섬유,,"옷, 모자, 양말, 천, 장갑(면장갑, 목장갑, 코팅목장갑) 등 천연 섬유만 해당",2
1883,2019,거제 두모몽돌해변,1차,플라스틱류,발포형,"기타(스폰지, 물휴지 등)",4
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,라이터,6
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,폭죽/불꽃놀이 용품,6
1883,2019,거제 두모몽돌해변,1차,고무,,"타이어, 고무풍선, 고무장갑 등",6
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",7
1883,2019,거제 두모몽돌해변,1차,플라스틱류,발포형,파편,12
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,플라스틱 부표,13
1883,2019,거제 두모몽돌해변,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",13
1883,2019,거제 두모몽돌해변,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",13
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,1회용품 접시·숟가락·빨대 등,37
1883,2019,거제 두모몽돌해변,1차,플라스틱류,기타,파편,45
1883,2019,거제 두모몽돌해변,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",49
1883,2019,거제 두모몽돌해변,1차,플라스틱류,필름형,비닐봉지,58
1883,2019,거제 두모몽돌해변,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",58
1883,2019,거제 두모몽돌해변,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",58
1883,2019,거제 두모몽돌해변,1차,플라스틱류,발포형,스티로폼 부표,61
1883,2019,거제 두모몽돌해변,1차,플라스틱류,발포형,담배꽁초,74
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",96
1883,2019,거제 두모몽돌해변,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",122
1883,2019,거제 두모몽돌해변,1차,기타(+혼합재질),,"가전제품, 차량부품, 도자기, 타일, 건전지, 양초 등",136
1883,2019,거제 두모몽돌해변,1차,플라스틱류,경질형,파편,178
1883,2019,거제 두모몽돌해변,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",192
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,폭죽/불꽃놀이 용품,1
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,발포형,스티로폼 부표,1
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,"장난감, 인형, 오락용품, 사무용품",1
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",3
1884,2019,포항 구룡포 대보해변,1차,천연 섬유,,"옷, 모자, 양말, 천, 장갑(면장갑, 목장갑, 코팅목장갑) 등 천연 섬유만 해당",3
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,플라스틱 부표,4
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,"세제용기(주방, 세탁, 목욕 등), 화장품",4
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",5
1884,2019,포항 구룡포 대보해변,1차,목재,,"나무젓가락, 아이스크림 막대, 나무 팔레트, 건축용 목재, 어업용/양식장용 목재, 꼬지 등",5
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,라이터,7
1884,2019,포항 구룡포 대보해변,1차,고무,,"타이어, 고무풍선, 고무장갑 등",7
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,발포형,"스티로폼 식품용기(음식물포장용, 컵라면, 도시락, 과일포장 등)",9
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,1회용품 접시·숟가락·빨대 등,10
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,파편,12
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,발포형,"기타(스폰지, 물휴지 등)",13
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,발포형,담배꽁초,14
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,필름형,비닐봉지,19
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",22
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",23
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,발포형,파편,25
1884,2019,포항 구룡포 대보해변,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",33
1884,2019,포항 구룡포 대보해변,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",39
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,섬유형,"밧줄(꼬인 것, 어업용)",44
1884,2019,포항 구룡포 대보해변,1차,플라스틱류,경질형,"음료수병, 각종 뚜껑",56
1884,2019,포항 구룡포 대보해변,1차,유리,,"음료수병, 농약병, 전구, 형광등, 유리조각(2.5㎝ 이상) 등",95
1885,2019,포항 칠포,1차,플라스틱류,경질형,플라스틱 부표,1
1885,2019,포항 칠포,1차,플라스틱류,발포형,담배꽁초,1
1885,2019,포항 칠포,1차,플라스틱류,경질형,"음식물포장용기(고추장통, 간장병 등)",1
