구분,2016년,2017년,2018년,2019년
평택시,40,80,95,205.4
안산시,432.9,444.4,251.7,355
시흥시,246.8,133.9,114.1,224
김포시,105,47.4,94.6,175
화성시,425.3,530.7,712.4,524
중구,143.1,380.1,318.7,205.9
남동구,732.1,699,0,27.8
서구,0,0,25.4,0
강화군,27.9,1585.3,0,60.2
옹진군,319,99.9,2070.1,202.8
강릉시,797.6,1315,1288,4082.3
속초시,207.1,241.4,889.6,834
고성군,181.6,319.5,422.9,274.3
동해시,326.3,157.5,333.4,338.9
삼척시,362.5,142.2,949,1011.5
양양군,144.7,408.5,889,1228.1
보령시,1620.3,1967.8,2190.4,2935.4
아산시,12,37,31,25.3
서산시,547.6,312,291.6,428.2
서천군,2282.6,1405.9,2241.4,2407.3
홍성군,234,365.8,480,209
태안군,4899.3,6637,6161.6,6064.8
당진시,97,280.5,325,295.1
중구,328.7,0,0,0
서구,0,0,0,20
영도구,283,279.6,56.1,75.6
해운대구,144,206.7,278.2,228.3
사하구,445.4,601.9,138,85.9
강서구,484.3,0,73.2,116.6
수영구,0,45.4,19.8,20
기장군,2032,2250.1,3045.4,3534.5
항만관리사업소,0,0,0,32.9
남구,137,0,0,0
동구,541,477.7,468.9,169.9
북구,942.4,520.1,755.3,112.3
울주군,315.7,152.6,528.3,861.7
포항시,679.1,2676,1045.1,1345.9
경주시,1453.4,210.6,412.3,1222.9
영덕군,396.1,712.4,588.8,2214.2
울진군,822.9,739.6,786.8,1925.8
울릉군,378.7,117.5,120,147
창원시,1096.1,780.9,1004.8,2883.5
통영시,3598,4884,2350.6,1971.9
사천시,341.7,356,307.9,573.5
거제시,1757.6,2586.6,2270.4,1126.3
고성군,3534.7,5891.3,5355.8,1529.6
남해군,876.1,1764.6,1412.2,1002.6
하동군,278.3,410.6,249.4,874.4
목포시,901.1,430,678.1,671.7
여수시,3714.3,1294.5,3209.2,2751.5
순천시,220,100,95,221
광양시,90,147,0,0
고흥군,686.7,838.7,1101.5,2192
보성군,2258,1247.3,760,1193
장흥군,439.8,1095,490.2,1065.3
강진군,281,325.1,252,522.7
해남군,1872,1460,3302,3565.5
영암군,0,154.8,54.3,15
무안군,167.2,1238.1,532,538.3
함평군,137,172,149.8,137.7
영광군,1310.2,1066.8,2453,2199.9
완도군,5927.7,5875.2,9989.8,9180.6
진도군,2130.2,1406.5,5387.5,3461.9
신안군,3219.5,3999.3,5149.9,5002.1
군산시,1176.4,1243.3,1916.6,2155.5
부안군,937.5,907.2,1028,1851.1
고창군,175.2,211.9,564,327.7
제주시,2722.7,9518.4,9527.3,8057.9
서귀포시,2720.8,1245.6,2519.9,3938.6
