구분,조사면적(ha),추정량(ton)
평택시,2000,1.9
안산시,1541,62
시흥시,0,0
김포시,0,0
화성시,0,0
중구,0,0
남동구,0,0
동구,0,0
서구,0,0
강화군,0,0
옹진군,1470,98
연수구,0,0
강릉시,0,0
속초시,0,0
고성군,0,0
동해시,0,0
삼척시,0,0
양양군,0,0
강원도청,0,0
보령시,800,77.6
아산시,0,0
서산시,0,0
서천군,720,128.7
홍성군,0,0
태안군,0,0
당진시,0,0
중구,0,0
서구,0,0
동구,3309,102
영도구,0,0
남구,0,0
북구,0,0
해운대구,0,0
사하구,0,0
강서구,0,0
수영구,0,0
사상구,0,0
기장군,0,0
항만관리사업소,0,0
남구,0,0
동구,0,0
북구,0,0
울주군,500,4
포항시,364,108.8
경주시,0,0
영덕군,0,0
울진군,39,70
울릉군,0,0
창원시,0,0
창원시 마산합포구,1310,174
창원시 성산구,0,0
창원시 진해구,0,0
통영시,651,783.3
사천시,450,39
거제시,1398,152
고성군,0,0
남해군,0,0
하동군,0,0
목포시,397.8,76
여수시,401,79.9
순천시,0,0
광양시,400,4.6
고흥군,721,251
보성군,0,0
장흥군,0,0
강진군,0,0
해남군,0,0
영암군,0,0
무안군,0,0
함평군,750,5.6
영광군,0,0
완도군,0,0
진도군,0,0
신안군,5777,54.5
울진군,0,0
군산시,800,652
부안군,0,0
고창군,0,0
제주시,0,0
서귀포시,0,0
